LAE_INDEX,RA,DEC,ZWAVG,QUALITY,CLASSIFICATION,NARROWBAND_MAGNITUDE,NARROWBAND_BINS
338813,151.18075466970595,1.4448141768814533,2.464175,3.0,LAE,24.435032566611902,24.599999999999984
340775,151.18982238554534,1.4246381512072972,2.476,2.0,UNDET,24.920092664655392,24.999999999999982
341818,150.52294094816068,1.4141805499700641,2.431475,3.0,LAE,23.73504059898961,23.799999999999986
341825,150.6190843240401,1.4150169368264525,2.4294,3.0,LAE,23.86597888682879,23.999999999999986
342997,151.14778876146005,1.4038713840319885,2.4146,3.0,AGN,24.380753326422003,24.399999999999984
343989,150.7030767130534,1.3858559957186836,2.4756,3.0,AGN,24.394044709772093,24.399999999999984
344488,150.58347670452022,1.3890905723252684,2.44,2.0,UNDET,24.92654373788744,24.999999999999982
345252,148.54007450688536,1.5835316156106127,2.447,3.0,LAE,23.765393811962817,23.799999999999986
346456,149.17973701258748,1.595785679753554,2.418,3.0,LAE,24.452446682836857,24.599999999999984
346605,148.84681949824562,1.5970952805263685,2.4547,3.0,LAE,24.433881069240243,24.599999999999984
347680,148.6404300365944,1.6076657066458961,2.4231,3.0,LAE,24.94216565420038,24.999999999999982
347718,149.4702598586282,1.6076629936276436,2.4457,3.0,LAE,24.1765568280615,24.199999999999985
348365,149.27717936323606,1.6125401963437413,2.4619668,3.0,LAE,24.82627564378177,24.999999999999982
348857,148.78127134501764,1.6179649599807462,2.441625,3.0,LAE,24.98533481204975,24.999999999999982
349579,148.9164046071214,1.6239614738700268,2.43,3.0,LAE,24.736501844500516,24.799999999999983
350363,148.93554265196093,1.6308382880850651,2.4675,3.0,LAE,24.353570239291727,24.399999999999984
350596,148.62022452419717,1.632869394100837,2.43485,3.0,LAE,23.98073070366141,23.999999999999986
350646,148.77144165107495,1.6334595745437577,2.4295,3.0,LAE,24.327597334593968,24.399999999999984
350776,148.9165702318095,1.634223788840516,2.4267333,3.1666667,LAE,23.21355347322446,23.399999999999988
351973,148.97944955542206,1.6463941678273424,2.42325,3.0,LAE,24.71148337463134,24.799999999999983
352066,148.92413109486432,1.647075897120138,2.421675,3.0,LAE,24.571795020547366,24.599999999999984
352375,148.81543670806886,1.6496279310069484,2.45825,3.0,LAE,24.619041342078322,24.799999999999983
352738,149.29590050698016,1.6534915479658214,2.47765,3.0,LAE,24.65288598854623,24.799999999999983
354265,148.53892079341216,1.6643515604299035,2.450275,3.0,LAE,24.199292570407323,24.199999999999985
356694,149.56098995776276,1.691689353442359,2.4515333,3.0,LAE,24.88007897599709,24.999999999999982
356827,148.81664156140715,1.6919242403405663,2.4747,3.0,LAE,24.02972150467667,24.199999999999985
356875,149.09280047238903,1.692982655176659,2.47275,3.0,LAE,24.672283886621145,24.799999999999983
358136,148.64082106772733,1.7042556463459853,2.46075,3.0,LAE,24.52931222542744,24.599999999999984
358231,148.82972055144577,1.7044798421132887,2.47595,3.0,LAE,23.888755588212266,23.999999999999986
358498,149.15957005774854,1.7072386516395996,2.4269,3.0,LAE,24.38395697401172,24.399999999999984
358757,148.60555623073193,1.7100957884254164,2.436575,3.0,LAE,23.891377321476348,23.999999999999986
359424,148.86823810807564,1.7165767577080242,2.4477,2.0,UNDET,25.36050806431544,25.39999999999998
359934,148.88727372914732,1.7209134426198611,2.4524,3.0,LAE,24.4297072107268,24.599999999999984
360327,149.43765143823998,1.724559634575392,2.4256,3.0,LAE,24.828967335164688,24.999999999999982
361316,148.63698009533027,1.7322147010319435,2.46295,3.0,LAE,24.381152012222046,24.399999999999984
361534,148.81294522132575,1.7333851573241987,2.45925,3.0,LAE,23.33327821535363,23.399999999999988
361918,149.01858902027632,1.7379291955862783,2.4741,3.0,LAE,24.222858851379087,24.399999999999984
362767,148.95940007247353,1.7420963050465454,2.4328,3.0,LAE,23.66449260689651,23.799999999999986
362971,148.82629926127345,1.7470811889771865,2.44325,3.0,LAE,24.639569422447387,24.799999999999983
364013,148.86775074085347,1.756958200630157,2.453175,2.75,LAE,24.879435724175913,24.999999999999982
364371,149.20639335005782,1.7600561269455999,2.4693,3.0,LAE,24.899347540342497,24.999999999999982
364563,148.8686678000197,1.7596181976598575,2.47685,3.0,LAE,23.865405986691076,23.999999999999986
365306,148.874566117493,1.7678527518474634,2.439,3.0,LAE,24.61243353298647,24.799999999999983
365463,149.1269789371101,1.768831974673995,2.4029,3.0,LAE,23.989257326528644,23.999999999999986
365591,149.33865257037485,1.770293122014625,2.45245,2.5,LAE,24.89441505432274,24.999999999999982
366429,149.49591141659081,1.7783258917826934,2.4323332,3.0,LAE,24.76323773984412,24.799999999999983
366869,148.66041824608175,1.7811593624720774,2.46365,3.0,LAE,24.177451771821588,24.199999999999985
367013,149.18727632463285,1.7828932387532388,2.4648,3.0,LAE,24.54872985235416,24.599999999999984
367281,149.59315651230582,1.785750254014444,2.4785,2.6666667,LAE,24.141248411585615,24.199999999999985
367327,148.76446163611874,1.7863123522582949,2.45685,3.0,LAE,24.89289154668204,24.999999999999982
367776,148.75117922322406,1.7902571738713295,2.4443,3.0,LAE,24.776758601847128,24.799999999999983
368074,149.08379468998996,1.7926768901956354,2.44215,3.0,LAE,23.98223806385434,23.999999999999986
368548,148.9055250737033,1.7970605818083285,2.439025,3.0,LAE,24.285969885353726,24.399999999999984
369443,148.83529868351243,1.8047084206170751,2.4656,3.0,LAE,24.288679855219186,24.399999999999984
370079,149.5060178568752,1.8091322701230015,2.3997,3.6666667,AGN,21.62743072845022,21.799999999999994
372078,148.75865014912114,1.82675393755034,2.449325,3.0,LAE,24.307019933041133,24.399999999999984
372257,149.17494448933053,1.828292999651084,2.460425,3.25,LAE,22.975342608977105,22.99999999999999
373120,149.16213860817956,1.8380930116272305,2.462275,3.0,LAE,24.668084451658416,24.799999999999983
373821,148.9389204431501,1.8440965091274655,2.46595,3.0,LAE,24.607729883407004,24.799999999999983
375386,148.85208718463878,1.8587280879695562,2.4287,3.0,LAE,25.158549937993854,25.19999999999998
375492,148.93946308451288,1.8599908545603454,2.4344,2.0,UNDET,25.154991140334744,25.19999999999998
375830,148.97231597483403,1.8622904119512829,0.0,0.0,UNDET,25.085063593725803,25.19999999999998
375910,148.99603737098326,1.8633754468134787,2.4344,3.0,LAE,24.662426241292817,24.799999999999983
377298,148.94606772622416,1.8741033107454135,2.428025,2.75,LAE,24.550566810396965,24.599999999999984
377371,148.8611912072907,1.8761420706318326,2.4417,3.0,LAE,24.695951596730062,24.799999999999983
377401,148.57116471005546,1.8759259109920374,0.0,1.0,UNDET,24.32337502097066,24.399999999999984
377483,148.77433604789292,1.877357465721542,2.4437,3.0,LAE,25.05376068197229,25.19999999999998
379864,148.90399092688568,1.8971682879418976,0.0,0.0,UNDET,24.4522803866824,24.599999999999984
380161,149.2758892035445,1.899712962061119,2.4591,3.0,LAE,23.64762557629899,23.799999999999986
380262,148.8736064512117,1.9008220437728227,2.4535,3.0,LAE,24.484382920989855,24.599999999999984
380388,148.94523818427714,1.9014330586515604,2.4396,3.0,LAE,23.9161475559249,23.999999999999986
381598,148.74689928536503,1.9124525220131596,2.4489,3.0,LAE,24.16607561576728,24.199999999999985
381668,148.7263872665238,1.9126888103319784,2.44615,3.0,LAE,24.003518867424205,24.199999999999985
382490,148.84147802535975,1.9201585434923483,2.45705,3.0,LAE,24.75404282566317,24.799999999999983
383242,149.14410545939202,1.9257781126403042,2.458875,3.25,LAE,23.213913209681028,23.399999999999988
384048,148.89072218358996,1.9333066368866108,2.4301,3.0,LAE,24.35268151957896,24.399999999999984
384375,148.90983182476563,1.9366100085866946,2.43095,3.0,LAE,24.513858907213258,24.599999999999984
384908,148.66561168992916,1.9400802079158754,2.43695,3.0,LAE,23.845789511455997,23.999999999999986
385226,149.02806234098435,1.94466291253888,2.4667,3.0,LAE,25.028353414728446,25.19999999999998
385350,149.32025143259432,1.9453158182241157,2.4582,3.0,LAE,24.432427593554127,24.599999999999984
385484,148.74416590866164,1.9464096157262936,2.4232,3.0,LAE,24.711211650476407,24.799999999999983
385832,148.94987670477659,1.9492209382851358,2.4306,3.0,LAE,24.584610670306247,24.599999999999984
387598,149.11633344942723,1.9634725526317676,0.0,0.0,UNDET,24.863405327444095,24.999999999999982
387724,148.95312625942006,1.9666805237089637,2.432625,3.0,LAE,24.739436715849596,24.799999999999983
387761,149.46307207462186,1.9670568785579443,2.46575,3.0,LAE,24.730210932731424,24.799999999999983
388084,148.81193201797194,1.9693098785646221,2.4652,3.0,LAE,25.070446271664984,25.19999999999998
389086,149.31401297714783,1.9779907500720846,2.4734,3.0,LAE,24.98315226146196,24.999999999999982
389807,148.74601258493638,1.9842277395645955,2.46165,3.0,LAE,24.78488451757829,24.799999999999983
390303,149.23669950546247,1.9881061937237237,2.4671,3.0,LAE,23.055040021956785,23.19999999999999
390312,148.94400163195144,1.988419015636865,2.433925,3.0,LAE,25.044005210901883,25.19999999999998
390989,149.31265320350968,1.99456960530906,2.41945,3.0,LAE,24.55200426342882,24.599999999999984
391365,149.50224606476726,1.9986343913537719,2.4563,2.0,UNDET,24.850562987372165,24.999999999999982
391431,148.72492348938184,1.9981832101881183,2.44445,3.0,LAE,24.211069175387966,24.399999999999984
392075,149.0784275559855,2.0027309629203334,2.4655,3.0,LAE,22.886781407622802,22.99999999999999
393029,149.33353856286934,2.0133443068300476,0.0,0.0,UNDET,24.936042915764975,24.999999999999982
393385,148.88407828841713,2.014691137016713,2.47,3.0,LAE,23.643110051483074,23.799999999999986
393870,149.0970379912546,2.0195507099102445,2.445,3.0,LAE,24.059093329543625,24.199999999999985
394205,149.27425949003313,2.0231515054975087,0.0,0.0,UNDET,24.76482799425384,24.799999999999983
394402,149.5641994030458,2.025229045682619,0.0,1.0,UNDET,24.983862133833156,24.999999999999982
394426,149.4190344881737,2.0234490400185945,2.42545,3.0,LAE,25.044036725604965,25.19999999999998
394869,148.9795551117446,2.028495247697445,2.4484,3.0,LAE,24.217363367221715,24.399999999999984
396125,148.74090287963855,2.0393459403285283,2.429275,3.0,LAE,23.592657104104404,23.599999999999987
396796,149.55940823111897,2.046955402513614,0.0,0.0,UNDET,24.64592420330748,24.799999999999983
397443,149.2732399203686,2.052776400285073,2.47315,3.0,LAE,24.028980423726413,24.199999999999985
397479,149.4178184554153,2.052296114711852,2.42345,3.0,LAE,24.136516521087422,24.199999999999985
397495,149.02019090522174,2.0534382151276422,0.0,0.0,UNDET,24.879101694107952,24.999999999999982
398744,148.8183154192918,2.0648823352765913,2.4595,3.0,LAE,24.25289635497154,24.399999999999984
400347,148.9230256473225,2.080813731824641,0.0,0.0,UNDET,25.299449630772557,25.39999999999998
400597,148.92793745683562,2.081973076783841,2.4508,3.0,LAE,23.262524031299222,23.399999999999988
400723,148.91188982559663,2.0841221179903155,2.4502,3.0,LAE,24.679049901204763,24.799999999999983
400994,148.88185055828274,2.085584802169164,2.4282,3.0,LAE,23.7525003236278,23.799999999999986
